c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
11.0,2.0,0.0162323,3474.0,3013.0005,3098.9995,3155.0,3198.0,3264.0005,3311.0,3378.0,3410.0,400.0,512.0,31.199232,0.006328128,0.38120484,-0.9244906,0.0,0.0,0.0
11.0,2.0,0.01631567,3388.0,2990.0005,3040.001,3092.9995,3122.001,3196.999,3248.0,3292.0,3311.0,400.0,1024.0,32.02253,0.006333154,0.3811376,-0.92451835,0.0,0.0,0.0
11.0,2.0,0.01587729,3571.0,2999.9995,3049.001,3098.0005,3117.9995,3183.9995,3255.999,3311.0,3389.0,400.0,768.0,31.531008,0.0063381805,0.38107038,-0.92454606,0.0,0.0,0.0
11.0,2.0,0.01566898,3488.0,3018.001,3095.0,3143.0,3171.0,3213.001,3280.0005,3322.0,3366.0,400.0,128.0,32.4608,0.006343207,0.38100314,-0.9245737,0.0,0.0,0.0
11.0,2.0,0.01629362,3876.0,2993.001,3058.0,3099.0,3122.001,3209.9995,3286.0,3587.9995,3724.9995,400.0,640.0,31.670273,0.006368338,0.38066694,-0.92471224,0.0,0.0,0.0
11.0,2.0,0.01691153,3973.0,2998.0005,3089.0005,3144.0005,3182.0,3299.0005,3584.0,3757.0005,3874.001,400.0,256.0,32.219135,0.00639347,0.38033068,-0.9248506,0.0,0.0,0.0
11.0,2.0,0.01638128,3903.0,2989.001,3081.9995,3149.0005,3186.0,3324.9995,3636.0005,3742.9995,3813.0005,400.0,384.0,33.394688,0.0064889695,0.37905243,-0.9253752,0.0,0.0,0.0
21.0,2.0,0.01683045,7071.0,5685.0005,5790.0,5853.0005,5923.0,6102.0,6316.0,6520.0,6801.0,400.0,512.0,34.062336,0.006926259,0.3731902,-0.9277549,0.0,0.0,0.0
21.0,2.0,0.01736689,6760.0,5693.0,5854.0,5968.0,6022.0,6144.0,6254.9995,6407.0,6545.0005,400.0,1024.0,32.71885,0.0069363117,0.37305525,-0.9278091,0.0,0.0,0.0
21.0,2.0,0.01636109,6519.0,5757.0,5876.0,5966.9995,6002.0,6165.0,6265.0,6402.0,6492.0,400.0,896.0,32.28877,0.0069513903,0.37285283,-0.9278905,0.0,0.0,0.0
21.0,2.0,0.01633811,7411.0,5736.0005,5870.0,5988.0,6051.0,6204.0005,6534.0,7251.0,7373.9995,400.0,640.0,32.50176,0.0069815484,0.37244794,-0.9280531,0.0,0.0,0.0
