cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.4852142,0.5916784,25968.375,16511.258,21077.639,17650.393,21316.418,17429.53,24784.68,18004.42,17944.553,192.74483,1847.574,740.6695,0.018683996,-0.20691572,-0.97835875,-0.9583226,0.28568837,1.0,7.0,5.0
3.4891877,0.5003882,25646.258,15432.334,20150.184,16449.85,20850.395,16226.811,23833.305,15923.381,17219.14,177.47743,1844.549,729.7559,0.01909017,-0.20805396,-0.97811735,-0.94997203,0.31233492,1.0,8.0,4.0
3.4884584,0.3954073,22237.027,11427.551,16723.475,12505.356,17531.916,11338.339,20717.188,11535.085,13445.308,145.43736,1930.5526,727.47687,0.019496344,-0.2091919,-0.97787464,-0.9408808,0.33873793,1.0,9.0,3.0
3.49153,0.33012384,20896.602,9159.375,14754.934,10326.26,16257.964,8716.683,19601.666,8413.854,11789.665,111.177605,1907.6598,722.91394,0.019902518,-0.21032958,-0.97763056,-0.93105584,0.36487678,1.0,10.0,2.0
3.4748805,0.16761139,14129.33,7544.4556,9607.852,7468.1626,9819.525,4726.885,13526.434,6090.4995,8422.992,70.80138,1863.9268,676.3895,0.020308692,-0.21146695,-0.97738516,-0.92050487,0.39073113,1.0,11.0,1.0
3.5,0.052093923,511.03613,503.01416,504.96582,504.96484,505.49463,505.49414,505.49365,505.49316,502.05713,10.0,1536.0,653.97144,0.020714866,-0.21260405,-0.97713846,-0.90923613,0.4162808,0.0,0.0,0.0
3.5,0.009994984,456.9453,444.16113,447.50342,450.07764,452.10547,452.25342,455.00098,455.00098,441.10352,30.0,1536.0,762.5032,0.02112104,-0.21374086,-0.9768904,-0.89725834,0.44150585,0.0,0.0,0.0
3.5,0.008430064,637.7832,617.49756,635.2783,635.4883,636.73535,637.0713,637.16895,637.16943,616.5547,40.0,1536.0,795.902,0.021527214,-0.21487738,-0.97664106,-0.88458097,0.46638665,0.0,0.0,0.0
3.5,0.037487984,1397.1572,1360.5889,1374.0762,1374.6987,1384.79,1394.083,1395.2632,1396.855,1355.2769,60.0,1536.0,934.8506,0.021933388,-0.21601361,-0.97639036,-0.8712138,0.49090376,0.0,0.0,0.0
3.5,0.282292,3164.8408,3115.9485,3142.496,3146.532,3159.147,3160.869,3161.4883,3161.816,3111.408,70.0,1536.0,988.6679,0.022339562,-0.21714954,-0.97613835,-0.8571673,0.5150381,0.0,0.0,0.0
3.5,0.325759,1172.2539,1118.6714,1144.415,1151.3467,1159.3809,1164.3423,1171.374,1172.2158,1116.123,80.0,1536.0,993.8207,0.022745736,-0.21828517,-0.97588503,-0.8424524,0.5387708,0.0,0.0,0.0
3.5,0.425662,1478.4688,1401.5278,1453.7393,1454.7197,1460.2432,1473.7422,1476.2441,1477.6533,1409.3423,100.0,1536.0,997.7446,0.02315191,-0.21942052,-0.9756304,-0.82708055,0.56208336,0.0,0.0,0.0
3.5,0.273746,1623.7832,1567.3052,1595.3892,1597.1577,1603.7075,1606.6323,1614.3716,1614.8545,1552.5571,109.99999,1536.0,436.34277,0.023558082,-0.22055557,-0.9753744,-0.8110638,0.58495766,0.0,0.0,0.0
3.5,0.364559,1820.147,1728.8853,1790.8301,1794.9956,1807.9062,1810.0967,1811.0825,1815.0435,1735.9834,120.0,1536.0,442.1468,0.023964256,-0.22169033,-0.97511715,-0.79441464,0.60737586,0.0,0.0,0.0
